Anio,Tipo,Sector,Gas,Cantidad
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,SOx (t),1604184.13994525
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,NOx (t),258461.17767931998
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,COVNM (t),9072.209067759999
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,CH4 (t),1725.8207249699997
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,CO (t),18581.39236893
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,CO2 (t),77264721.76175001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,N2O (t),858.9672923500001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,NH3 (t),80.815
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Combustión en la producción y transformación de energía,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,SOx (t),43845.99400099999
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,NOx (t),36713.54462900001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,COVNM (t),43296.887054000006
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,CH4 (t),35988.342139999986
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,CO (t),540392.4875149997
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,CO2 (t),18049140.136
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,N2O (t),776.7936459999999
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,NH3 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión no industrial,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Plantas de combustión industrial,SOx (t),316820.69319607003
